Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade,Diferença
CL0002,21/1/2021,Infantil 4,Conceição do Mato Dentro,2024-12-19,2024-12-20,Matrícula nova,"50,00%",15.176,1
CL0019,23/01/2022,Infantil 3,Castelo,2025-01-21,2025-01-27,Matrícula nova,"66,60%",6.672,6
CL0047,19/04/2015,5º ano,Conceição do Mato Dentro,2024-12-02,2024-12-02,Matrícula nova,"100,00%",11.471,0
CL0072,07/09/2022,Infantil 2,Castelo,2024-08-17,2024-12-09,Matrícula nova,"65,00%",8.515,114
CL0102,12/08/2022,Infantil 2,Castelo Manacás,2024-10-31,2025-01-21,Matrícula nova,"63,00%",7.453,82
CL0135,3/3/2023,Infantil 2,Lagoa Santa,2024-10-18,2024-11-14,Matrícula nova,"100,00%",740.0,27
CL0165,14/5/2008,1ª série,Gutierrez,2024-12-09,2024-12-26,Matrícula nova,"50,00%",19.469,17
CL0187,27/10/2013,6º ano,Gutierrez,2024-11-12,2024-12-13,Matrícula nova,"58,00%",14.368,31
CL0233,12/01/2010,1ª série,Jaraguá,2024-08-20,2024-08-24,Matrícula nova,"40,00%",19.757,4
CL0260,22/10/2010,9º ano,Alípio de Melo,2024-09-02,2024-10-07,Matrícula nova,"54,00%",13.325,35
CL0278,20/03/2017,3º ano,Lagoa Santa,2024-09-13,2024-09-21,Matrícula nova,"44,70%",14.346,8
CL0288,07/09/2018,1º ano,Carlos Prates,2024-10-23,2025-01-10,Matrícula nova,"60,00%",10.224,79
CL0299,10/06/2019,Infantil 5,Lagoa Santa,2024-10-30,2024-11-18,Matrícula nova,"46,00%",12.376,19
CL0313,5/8/2015,4º ano,Lagoa Santa,2024-10-14,2024-11-29,Matrícula nova,"45,00%",13.773,46
CL0315,19/2/2010,1ª série,Mais Buritis,2024-09-04,2024-12-16,Matrícula nova,"58,50%",16.018,103
CL0320,24/7/2010,9º ano,Mais Cidade Nova,2024-12-11,2024-12-19,Matrícula nova,"60,00%",17.228,8
CL0327,16/4/2021,Infantil 3,Castelo Manacás,2024-12-04,2024-12-18,Matrícula nova,"42,00%",13.514,14
CL0340,18/10/2014,5º ano,Nova Suíça,2025-01-02,2025-01-11,Matrícula nova,"65,00%",10.579,9
CL0341,18/9/2018,1º ano,Gutierrez,2024-08-13,2024-10-18,Matrícula nova,"39,40%",17.516,66
CL0357,12/07/2022,Infantil 2,Santa Amélia,2024-08-23,2024-09-09,Matrícula nova,"50,00%",11.847,17
CL0385,05/07/2018,1º ano,Castelo,2025-01-11,2025-01-15,Matrícula nova,"65,00%",8.56,4
CL0397,22/08/2013,6º ano,Alípio de Melo,2024-09-04,2024-11-08,Matrícula nova,"65,00%",10.359,65
CL0418,20/11/2017,4º ano,Lagoa Santa,2024-12-11,2024-09-19,Matrícula nova,"100,00%",405.0,-83
CL0420,03/08/2010,9º ano,Mais Buritis,2024-09-16,2025-01-09,Matrícula nova,"50,40%",16.222,115
CL0421,28/03/2010,1ª série,Gutierrez,2024-08-26,2024-10-04,Matrícula nova,"45,00%",20.218,39
CL0426,16/07/2016,3º ano bilíngue,Mais Pampulha,2024-11-04,2024-11-14,Matrícula nova,"70,00%",17.262,10
CL0445,16/10/2013,6º ano,Alípio de Melo,2024-08-28,2024-10-09,Matrícula nova,"50,40%",12.864,42
CL0455,03/11/2008,2ª série,Alípio de Melo,2025-01-24,2025-01-30,Matrícula nova,"70,00%",8.54,6
CL0457,09/09/2018,1º ano,Gutierrez,2024-08-19,2024-09-11,Matrícula nova,"43,00%",16.72,23
CL0470,29/08/2019,1º ano bilíngue,Mais Pampulha,2024-08-14,2024-08-26,Matrícula nova,"55,00%",24.758,12
CL0483,09/04/2018,1º ano bilíngue,Carajás,2025-01-03,2025-01-03,Matrícula nova,"100,00%",32.408,0
CL0500,20/03/2016,4º ano,Castelo,2024-08-13,2024-09-03,Matrícula nova,"55,20%",11.283,21
CL0503,10/12/2012,7º ano,Jardim Canadá,2024-11-05,2025-01-15,Matrícula nova,"70,00%",11.479,71
CL0520,03/05/2011,9º ano,Santa Amélia,2024-08-30,2024-09-21,Matrícula nova,"55,00%",11.252,22
CL0529,28/09/2020,Infantil 3,Castelo,2025-01-23,2025-01-23,Matrícula nova,"64,50%",7.8,0
CL0535,21/2/2017,3º ano bilíngue,Nova Suíça,2024-09-25,2024-12-10,Matrícula nova,"50,00%",14.949,76
CL0540,18/11/2015,4º ano bilíngue,Mais Belvedere,2024-12-19,2024-12-30,Matrícula nova,"68,00%",18.262,11
CL0557,05/05/2019,1º ano,Lagoa Santa,2025-01-28,2025-01-28,Matrícula nova,"50,80%",12.987,0
CL0565,04/06/2017,2º ano,Jaraguá,2024-08-14,2024-12-14,Matrícula nova,"50,00%",12.43,122
CL0608,28/4/2012,8º ano,Mais Cidade Nova,2024-10-14,2024-11-26,Matrícula nova,"69,00%",13.472,43
CL0623,10/01/2014,6º ano,Alípio de Melo,2024-09-26,2024-10-21,Matrícula nova,"60,00%",12.007,25
CL0630,23/11/2017,2º ano,Carlos Prates,2024-08-16,2024-08-27,Matrícula nova,"53,00%",12.369,11
CL0662,7/11/2018,2º ano,Jaraguá,2024-08-16,2024-12-19,Matrícula nova,"60,00%",10.324,125
CL0668,28/10/2008,2ª série,Alípio de Melo,2024-10-09,2024-10-20,Matrícula nova,"53,00%",14.595,11
CL0678,23/1/2017,4º ano bilíngue,Alípio de Melo,2024-10-26,2025-01-16,Matrícula nova,"64,50%",9.823,82
CL0707,2/7/2011,8º ano,Mais Buritis,2024-10-31,2024-11-26,Matrícula nova,"65,00%",13.231,26
CL0708,28/09/2013,6º ano,Carlos Prates,2024-08-29,2024-10-03,Matrícula nova,"50,00%",15.067,35
CL0719,04/03/2023,Infantil 2 bilíngue,Mais Buritis,2025-01-07,2025-01-09,Matrícula nova,"74,00%",13.291,2
CL0755,05/11/2010,9º ano,Alípio de Melo,2024-08-14,2024-10-04,Matrícula nova,"65,00%",10.947,51
CL0757,10/03/2009,2ª série,Mais Cidade Nova,2025-01-29,2025-01-30,Matrícula nova,"70,00%",12.797,1
CL0785,11/02/2011,9º ano,Carlos Prates,2024-10-04,2024-10-08,Matrícula nova,"58,00%",12.407,4
CL0797,24/09/2012,7º ano,Santa Amélia,2024-09-16,2024-10-10,Matrícula nova,"43,00%",16.99,24
CL0817,30/11/2020,Infantil 4,Conceição do Mato Dentro,2024-11-29,2024-12-01,Matrícula nova,"75,00%",15.176,2
CL0818,26/12/2010,9º ano,Alípio de Melo,2024-08-16,2024-08-26,Matrícula nova,"58,00%",12.76,10
CL0848,19/12/2020,Infantil 4,Carlos Prates,2024-09-20,2024-09-27,Matrícula nova,"60,00%",9.113,7
CL0852,12/5/2008,1ª série,Gutierrez,2024-11-25,2024-12-20,Matrícula nova,"45,00%",20.517,25
CL0854,19/01/2022,Infantil 3 bilíngue,Mais Cidade Nova,2024-09-25,2024-10-01,Matrícula nova,"100,00%",0.0,6
CL0880,17/7/2007,3ª série,Mais Cidade Nova,2024-11-01,2024-11-14,Matrícula nova,"61,50%",20.275,13
CL0890,28/04/2014,6º ano,Santa Amélia,2024-10-21,2024-11-07,Matrícula nova,"48,90%",15.632,17
CL0913,19/5/2011,9º ano,Santa Amélia,2024-12-07,2024-12-23,Matrícula nova,"50,00%",16.075,16
CL0942,23/01/2008,3ª série,Carajás,2025-01-08,2025-01-08,Matrícula nova,"100,00%",24.615,0
CL0945,12/04/2013,7º ano,Carajás,2025-01-21,2025-01-23,Matrícula nova,"100,00%",21.475,2
CL0968,27/06/2007,2ª série,Gutierrez,2024-12-31,2025-01-09,Matrícula nova,"40,00%",22.95,9
CL0998,21/08/2011,8º ano,Ouro Preto,2024-09-02,2024-09-21,Matrícula nova,"31,00%",22.268,19
CL10020,31/03/2017,3º ano,Lagoa Santa,2024-11-01,2024-11-13,Matrícula nova,"50,00%",12.557,12
CL10026,24/02/2012,8º ano,Alípio de Melo,2024-09-12,2024-09-24,Matrícula nova,"58,00%",13.231,12
CL10032,30/01/2022,Infantil 3,Conceição do Mato Dentro,2024-08-13,2024-11-29,Matrícula nova,"50,00%",14.543,108
CL10039,09/06/2020,Infantil 4,Carlos Prates,2024-09-23,2024-10-02,Matrícula nova,"63,00%",8.512,9
CL10042,30/07/2008,2ª série,Lagoa Santa,2025-01-22,2025-01-24,Matrícula nova,"56,50%",14.34,2
CL10061,13/01/2018,2º ano,Castelo,2025-01-08,2025-01-22,Matrícula nova,"55,00%",11.126,14
CL10067,25/12/2013,6º ano,Alípio de Melo,2024-08-13,2024-10-29,Matrícula nova,"57,50%",12.654,77
CL10082,30/11/2020,Infantil 4 bilíngue,Carajás,2024-12-23,2024-12-23,Matrícula nova,"100,00%",16.976,0
CL10089,13/12/2019,Infantil 5,Nova Suíça,2024-11-05,2024-11-18,Matrícula nova,"40,00%",14.66,13
CL1009,08/10/2009,1ª série,Jaraguá,2024-10-07,2024-10-31,Matrícula nova,"42,00%",18.665,24
CL10098,20/09/2018,1º ano,Castelo,2024-08-13,2024-11-27,Matrícula nova,"55,00%",11.327,106
CL10099,12/11/2018,1º ano,Ouro Preto,2024-08-26,2024-08-27,Matrícula nova,"45,00%",15.99,1
CL10117,25/6/2022,Infantil 2,Conceição do Mato Dentro,2024-12-16,2024-12-27,Matrícula nova,"100,00%",10.623,11
CL10122,17/07/2009,1ª série,Mais Belvedere,2024-08-30,2024-09-27,Matrícula nova,"55,00%",21.688,28
CL10136,08/11/2018,1º ano,Alípio de Melo,2024-08-14,2024-08-28,Matrícula nova,"55,00%",9.723,14
CL10137,1/2/2021,Infantil 4 bilíngue,Carajás,2024-12-23,2024-12-23,Matrícula nova,"100,00%",16.976,0
CL10140,16/11/2015,4º ano,Alípio de Melo,2024-08-23,2024-09-21,Matrícula nova,"41,00%",14.414,29
CL10144,14/02/2019,1º ano,Lagoa Santa,2024-08-19,2024-08-30,Matrícula nova,"50,00%",12.557,11
CL10160,17/12/2020,Infantil 4,Ouro Preto,2024-09-05,2024-09-17,Matrícula nova,"47,00%",13.19,12
CL10165,11/10/2022,Infantil 3,Alípio de Melo,2025-01-02,2025-01-27,Matrícula nova,"100,00%",1.823,25
CL10171,01/02/2013,6º ano,Ouro Preto,2024-08-26,2024-09-21,Matrícula nova,"40,00%",20.833,26
CL10179,02/06/2022,Infantil 2,Nova Suíça,2024-06-24,2024-10-14,Matrícula nova,"43,00%",14.192,112
CL10206,13/04/2018,1º ano,Jardim Canadá,2024-12-10,2024-12-12,Matrícula nova,"54,00%",13.54,2
CL10253,29/05/2015,4º ano,Ouro Preto,2025-01-17,2025-02-04,Matrícula nova,"65,00%",9.804,18
CL10264,20/02/2022,Infantil 3,Castelo Manacás,2024-08-14,2024-08-21,Matrícula nova,"50,00%",11.353,7
CL10271,13/10/2023,Infantil 1,Carajás,2024-12-30,2025-01-21,Matrícula nova,"100,00%",12.477,22
CL10275,24/09/2020,Infantil 4,Lagoa Santa,2024-11-26,2025-01-15,Matrícula nova,"60,00%",9.435,50
CL10285,3/4/2007,3ª série,Gutierrez,2024-11-12,2024-11-23,Matrícula nova,"40,00%",27.205,11
CL10304,24/2/2017,3º ano,Santa Amélia,2024-10-26,2024-11-14,Matrícula nova,"49,30%",13.64,19
CL10320,19/02/2019,1º ano,Santa Amélia,2024-08-14,2024-10-09,Matrícula nova,"55,00%",12.53,56
CL10325,30/04/2018,1º ano bilíngue,Mais Pampulha,2024-08-14,2024-08-26,Matrícula nova,"52,00%",26.257,12
CL10378,16/05/2017,2º ano,Lagoa Santa,2024-09-05,2024-10-24,Matrícula nova,"51,00%",12.335,49
CL10380,28/4/2018,1º ano,Nova Suíça,2024-11-12,2024-11-26,Matrícula nova,"43,50%",15.904,14
CL10381,09/09/2014,5º ano,Carlos Prates,2024-09-02,2024-10-02,Matrícula nova,"60,00%",10.024,30
CL10392,19/08/2017,2º ano,Jaraguá,2024-10-25,2024-11-09,Matrícula nova,"50,00%",12.429,15
CL10396,26/2/2014,6º ano,Carlos Prates,2024-10-04,2024-10-23,Matrícula nova,"60,00%",12.713,19
CL10406,15/06/2018,1º ano,Jaraguá,2024-08-21,2024-09-27,Matrícula nova,"38,00%",15.276,37
CL10411,24/9/2020,Infantil 4,Conceição do Mato Dentro,2024-11-09,2024-11-28,Matrícula nova,"100,00%",10.623,19
CL10427,02/05/2018,1º ano,Santa Amélia,2024-09-16,2024-11-22,Matrícula nova,"46,50%",14.078,67
CL10430,17/07/2013,6º ano,Lagoa Santa,2024-08-13,2024-09-06,Matrícula nova,"52,00%",14.868,24
CL10449,18/03/2010,1ª série,Gutierrez,2024-10-15,2025-01-31,Matrícula nova,"34,90%",21.449,108
CL10455,07/12/2018,1º ano bilíngue,Mais Belvedere,2024-08-13,2024-09-03,Matrícula nova,"55,00%",25.576,21
CL10460,4/8/2012,7º ano,Lagoa Santa,2025-01-03,2025-01-07,Matrícula nova,"65,00%",11.127,4
CL10466,25/03/2014,6º ano,Ouro Preto,2025-01-14,2025-01-15,Matrícula nova,"66,00%",12.993,1
CL10502,31/07/2014,5º ano,Lagoa Santa,2024-08-19,2024-08-24,Matrícula nova,"50,00%",11.14,5
CL10505,31/05/2015,5º ano,Lagoa Santa,2024-08-13,2024-08-24,Matrícula nova,"50,00%",11.14,11
CL10514,30/06/2018,1º ano bilíngue,Mais Cidade Nova,2024-09-13,2024-09-23,Matrícula nova,"68,00%",18.178,10
CL10521,27/08/2014,5º ano,Lagoa Santa,2025-01-20,2025-01-20,Matrícula nova,"55,00%",12.051,0
CL10541,15/08/2021,Infantil 3,Conceição do Mato Dentro,2024-12-14,2024-12-14,Matrícula nova,"22,00%",12.115,0
CL10544,13/7/2017,2º ano,Carlos Prates,2024-12-04,2024-12-20,Matrícula nova,"62,00%",9.883,16
CL10558,27/5/2018,1º ano bilíngue,Mais Cidade Nova,2024-10-02,2025-02-03,Matrícula nova,"70,00%",14.922,124
CL10560,17/08/2017,2º ano bilíngue,Mais Cidade Nova,2024-09-03,2024-12-26,Matrícula nova,"74,00%",15.646,114
CL10565,04/08/2012,6º ano,Gutierrez,2024-10-12,2024-10-19,Matrícula nova,"40,00%",19.986,7
CL10566,05/09/2012,7º ano,Lagoa Santa,2024-09-09,2024-09-23,Matrícula nova,"45,00%",16.691,14
CL10577,22/10/2008,2ª série,Mais Belvedere,2024-10-28,2024-11-16,Matrícula nova,"35,00%",30.441,19
CL10581,05/10/2022,Infantil 2 bilíngue,Mais Pampulha,2024-08-27,2024-09-30,Matrícula nova,"58,80%",20.801,34
CL10592,18/09/2013,6º ano,Carlos Prates,2024-08-16,2024-12-06,Matrícula nova,"59,70%",11.849,112
CL10600,16/04/2015,5º ano,Santa Amélia,2024-10-26,2024-11-14,Matrícula nova,"56,00%",12.088,19
CL10630,19/06/2018,1º ano,Castelo Manacás,2024-08-26,2024-09-20,Matrícula nova,"35,00%",15.737,25
CL10673,18/2/2020,Infantil 5,Gutierrez,2024-11-13,2024-11-14,Matrícula nova,"55,00%",11.757,1
CL10687,17/11/2021,Infantil 3,Jardim Canadá,2024-07-26,2025-01-07,Matrícula nova,"39,00%",15.628,165
CL10721,29/10/2009,1ª série,Ouro Preto,2024-09-12,2024-10-14,Matrícula nova,"45,00%",20.811,32
CL10726,04/08/2017,2º ano,Ouro Preto,2024-08-28,2024-11-13,Matrícula nova,"50,00%",14.473,77
CL10739,22/1/2017,3ª série,Nova Suíça,2024-12-16,2025-01-08,Matrícula nova,"45,00%",15.639,23
CL10776,27/10/2010,9º ano,Lagoa Santa,2025-01-22,2025-01-24,Matrícula nova,"62,50%",11.187,2
