Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL0001,12/4/2008,3ª série,Ouro Preto,18/08/2024 22:46:00,10/10/2024,Rematrícula,"23,40%",32.406
CL0006,07/11/2013,6º ano,Carajás,18/08/2024 22:44:00,03/12/2024,Rematrícula,"100,00%",23.427
CL0013,,1ª série,,18/08/2024 22:44:00,,Rematrícula,,
CL0017,1/12/2019,Infantil 5,Jardim Canadá,18/08/2024 22:46:00,10/10/2024,Rematrícula,"60,00%",11.237
CL0021,,3ª série,,18/8/2024 22:45:00,,Rematrícula,,
CL0027,15/2/2014,6º ano,Conceição do Mato Dentro,18/08/2024 22:45:00,13/12/2024,Rematrícula,"34,60%",13.08
CL0028,,Infantil 4,,18/08/2024 22:46:00,,Rematrícula,,
CL0030,,1ª série,,18/08/2024 22:46:00,,Rematrícula,,
CL0039,23/02/2008,9º ano,Gutierrez,18/08/2024 22:44:00,04/10/2024,Rematrícula,"17,80%",27.122
CL0043,26/7/2018,1º ano bilíngue,Carajás,18/8/2024 22:46:00,18/11/2024,Rematrícula,"100,00%",32.408
CL0044,,3ª série,,18/08/2024 22:46:00,,Rematrícula,,
CL0053,17/06/2016,3º ano,Carlos Prates,18/8/2024 22:45:00,28/10/2024,Rematrícula,"48,40%",12.782
CL0056,12/10/2014,4º ano bilíngue,Carajás,18/08/2024 22:44:00,12/12/2024,Rematrícula,"100,00%",32.408
CL0062,10/08/2018,1º ano,Carlos Prates,18/08/2024 22:45:00,12/11/2024,Rematrícula,"65,00%",8.721
CL0086,26/10/2015,4º ano,Jardim Canadá,18/08/2024 22:46:00,03/02/2025,Rematrícula,"45,00%",16.289
CL0087,3/2/2015,5º ano,Carajás,18/08/2024 22:44:00,29/11/2024,Rematrícula,"100,00%",22.238
CL0088,25/5/2010,9º ano,Carajás,18/08/2024 22:45:00,12/12/2024,Rematrícula,"100,00%",23.427
CL0095,30/9/2009,1ª série,Carajás,18/08/2024 22:45:00,16/12/2024,Rematrícula,"100,00%",24.615
CL0096,29/1/2022,Infantil 3 bilíngue,Carajás,08/11/2024 13:53:00,14/11/2024,Rematrícula,"100,00%",15.966
CL0098,13/12/2010,9º ano,Jaraguá,18/08/2024 22:45:00,11/09/2024,Rematrícula,"61,00%",12.511
CL0099,19/07/2008,2ª série,Conceição do Mato Dentro,18/08/2024 22:47:00,29/01/2025,Rematrícula,"12,00%",18.638
CL0100,27/2/2008,3ª série,Santa Amélia,18/08/2024 22:45:00,14/10/2024,Rematrícula,"49,60%",20.295
CL0103,21/09/2007,3ª série,Alípio de Melo,18/08/2024 22:47:00,03/01/2025,Rematrícula,"50,40%",18.912
CL0105,20/10/2011,8º ano,Carajás,18/08/2024 22:46:00,10/12/2024,Rematrícula,"100,00%",23.427
CL0108,,9º ano,,18/08/2024 22:46:00,,Rematrícula,,
CL0113,20/05/2018,1º ano,Alípio de Melo,18/08/2024 22:45:00,06/09/2024,Rematrícula,"50,00%",13.031
CL0120,,7º ano,,18/08/2024 22:46:00,,Rematrícula,,
CL0127,5/5/2022,Infantil 2 bilíngue,Carajás,18/8/2024 22:46:00,11/11/2024,Rematrícula,"100,00%",0.0
CL0128,12/01/2016,4º ano,Conceição do Mato Dentro,18/08/2024 22:45:00,06/12/2024,Rematrícula,"50,00%",16.387
CL0129,4/5/2020,Infantil 4 bilíngue,Mais Cidade Nova,18/08/2024 22:47:00,10/10/2024,Rematrícula,"68,00%",16.261
CL0139,22/03/2014,6º ano bilíngue,Carajás,18/8/2024 22:45:00,04/12/2024,Rematrícula,"100,00%",0.0
CL0140,22/1/2014,6º ano,Ouro Preto,18/8/2024 22:46:00,21/11/2024,Rematrícula,"2,90%",32.02
CL0142,29/2/2008,3ª série,Jaraguá,18/08/2024 22:46:00,22/10/2024,Rematrícula,"35,00%",23.984
CL0143,22/08/2008,2ª série,Conceição do Mato Dentro,18/08/2024 22:45:00,29/01/2025,Rematrícula,"12,00%",18.638
CL0145,21/7/2008,2ª série,Ouro Preto,18/08/2024 22:46:00,08/11/2024,Rematrícula,"40,00%",21.874
CL0146,25/11/2009,9º ano,Ouro Preto,18/08/2024 22:46:00,17/01/2025,Rematrícula,"40,00%",20.833
CL0148,17/3/2017,3º ano bilíngue,Mais Pampulha,18/08/2024 22:45:00,28/10/2024,Rematrícula,"50,00%",27.256
CL0152,26/11/2012,7º ano bilíngue,Carajás,18/08/2024 22:44:00,09/12/2024,Rematrícula,"100,00%",38.376
CL0154,12/4/2018,1º ano,Nova Suíça,18/08/2024 22:46:00,02/10/2024,Rematrícula,"48,00%",14.535
CL0163,23/07/2015,4º ano bilíngue,Carajás,18/08/2024 22:45:00,27/11/2024,Rematrícula,"100,00%",32.408
CL0168,18/2/2011,9º ano,Jaraguá,18/8/2024 22:47:00,28/11/2024,Rematrícula,"9,70%",25.857
CL0169,7/4/2008,3ª série,Mais Buritis,18/08/2024 22:45:00,08/01/2025,Rematrícula,"50,00%",22.058
CL0172,31/01/2009,2ª série,Carlos Prates,18/08/2024 22:45:00,11/09/2024,Rematrícula,"36,80%",19.801
CL0175,29/04/2014,6º ano,Alípio de Melo,18/08/2024 22:44:00,01/10/2024,Rematrícula,"46,60%",16.183
CL0183,13/8/2007,2ª série,Santa Amélia,18/08/2024 22:46:00,11/12/2024,Rematrícula,"35,50%",22.201
CL0184,22/03/2017,3º ano,Castelo,18/08/2024 22:45:00,03/09/2024,Rematrícula,"58,00%",11.267
CL0185,22/10/2021,Infantil 3 bilíngue,Carajás,18/08/2024 22:46:00,21/01/2025,Rematrícula,"100,00%",14.635
CL0188,02/06/2007,3ª série,Jaraguá,18/08/2024 22:45:00,08/11/2024,Rematrícula,"30,00%",25.602
CL0191,12/07/2012,7º ano,Ouro Preto,18/08/2024 22:44:00,17/10/2024,Rematrícula,"36,00%",22.04
CL0193,03/02/2013,7º ano,Santa Amélia,18/8/2024 22:45:00,09/01/2025,Rematrícula,"40,40%",18.687
CL0199,,1º ano bilíngue,,18/08/2024 22:45:00,,Rematrícula,,
CL0202,,7º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0205,15/07/2021,Infantil 3,Jardim Canadá,05/09/2024 22:06:00,09/10/2024,Rematrícula,"28,00%",18.562
CL0206,,6º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0207,27/10/2013,6º ano,Mais Buritis,18/08/2024 22:44:00,16/10/2024,Rematrícula,"35,00%",24.232
CL0208,14/01/2016,4º ano,Santa Amélia,18/8/2024 22:45:00,08/10/2024,Rematrícula,"0,00%",25.271
CL0209,,1º ano,,18/8/2024 22:47:00,,Rematrícula,,
CL0210,19/9/2015,4º ano bilíngue,Carajás,18/08/2024 22:44:00,27/11/2024,Rematrícula,"100,00%",32.408
CL0212,10/9/2017,2º ano bilíngue,Carajás,18/08/2024 22:46:00,30/11/2024,Rematrícula,"100,00%",32.408
CL0214,24/12/2008,2ª série,Santa Amélia,18/08/2024 22:45:00,23/08/2024,Rematrícula,"48,00%",18.43
CL0221,2/7/2014,5º ano,Gutierrez,18/08/2024 22:46:00,30/12/2024,Rematrícula,"48,00%",14.995
CL0231,,2º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0232,05/07/2016,3º ano,Jardim Canadá,18/08/2024 22:46:00,28/01/2025,Rematrícula,"55,00%",13.054
CL0235,5/7/2016,3º ano,Santa Amélia,18/08/2024 22:45:00,19/12/2024,Rematrícula,"55,00%",12.109
CL0236,24/06/2012,8º ano,Alípio de Melo,18/08/2024 22:45:00,10/10/2024,Rematrícula,"45,00%",16.597
CL0237,20/7/2018,1º ano,Jardim Canadá,18/08/2024 22:44:00,10/10/2024,Rematrícula,"22,00%",22.135
CL0238,,8º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0244,24/07/2009,1ª série,Lagoa Santa,18/8/2024 22:45:00,26/09/2024,Rematrícula,"100,00%",523.0
CL0246,17/7/2010,9º ano,Ouro Preto,18/08/2024 22:47:00,02/10/2024,Rematrícula,"0,00%",32.895
CL0247,05/03/2015,5º ano,Santa Amélia,18/08/2024 22:46:00,30/09/2024,Rematrícula,"51,00%",12.425
CL0265,04/11/2011,7º ano,Alípio de Melo,18/08/2024 22:45:00,03/02/2025,Rematrícula,"65,00%",10.273
CL0267,22/04/2016,3º ano bilíngue,Mais Buritis,18/08/2024 22:46:00,10/10/2024,Rematrícula,"66,50%",18.751
CL0269,19/10/2017,2º ano,Alípio de Melo,18/08/2024 22:46:00,09/10/2024,Rematrícula,"55,00%",10.926
CL0271,26/10/2013,6º ano bilíngue,Carajás,18/08/2024 22:45:00,14/12/2024,Rematrícula,"100,00%",38.376
CL0272,23/04/2012,8º ano,Carlos Prates,18/08/2024 22:47:00,30/12/2024,Rematrícula,"59,50%",12.136
CL0274,21/08/2017,2º ano,Castelo Manacás,18/08/2024 22:46:00,07/11/2024,Rematrícula,"55,00%",11.327
CL0290,24/5/2018,1º ano,Carlos Prates,18/8/2024 22:45:00,29/11/2024,Rematrícula,"61,60%",9.471
CL0291,,7º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0292,10/9/2017,2º ano,Castelo,18/08/2024 22:45:00,12/12/2024,Rematrícula,"43,40%",13.15
